extension_id,publisher_id,extension_name,metadata_comment,metadata_severity,metadata_category,metadata_source,metadata_reference,metadata_status,removal_date
0xS1rx58D3V.ChatGPT-B0T,0xS1rx58D3V,ChatGPT-B0T,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-03-18
498-00.cppformat,498-00,cppformat,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-10-02
498-00.cppplayground,498-00,cppplayground,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-10-02
498-00.pythonformat,498-00,pythonformat,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-10-02
7finney.ethcode,7finney,ethcode,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-06-26
aadarkcode.one-dark-material,aadarkcode,one-dark-material,compromised - glassworm supply chain attack,critical,malware,static_list,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign,listed_static,
AARCarti.darkai-ai-pro,AARCarti,darkai-ai-pro,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-12-14
AARCarti.fortex-ai-pro,AARCarti,fortex-ai-pro,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-12-14
ab-498.cppformat,ab-498,cppformat,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-06-24
ab-498.cppplayground,ab-498,cppplayground,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-06-24
ab-498.pythonformat,ab-498,pythonformat,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-06-24
ahban.cychelloworld,ahban,cychelloworld,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-03-13
