entity_type,observable_type,observable_value,x_opencti_score,confidence,x_opencti_description,x_opencti_labels
indicator,Text,0xS1rx58D3V.ChatGPT-B0T,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,498-00.cppformat,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,498-00.cppplayground,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,498-00.pythonformat,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,7finney.ethcode,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,AARCarti.darkai-ai-pro,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,AARCarti.fortex-ai-pro,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,ab-498.cppformat,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,ab-498.cppplayground,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,ab-498.pythonformat,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,ahban.cychelloworld,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,ahban.shiba,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,ahbanC.shiba,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,AhmedCrypto.ahmedcrypto1,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,AhmedSleem.secure-code,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,AhmedSlem.secure-codee,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,AllenBarry.Solid,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,AmsTaFFix.daemonic-lua-api,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,annacode.pt-lab-simproc,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,ANZ-BANK.vscode-sysl,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,AshleyHornja.prettierformattingplus,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,AugmentedValueAcceleration.ava-supernova,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,automated1ogic.automated1ogic,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,automatedlogic.automatedlogic,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,AutoMind.automindX,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,beisen.codecake,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,BenjaminFriedl.lexica-img-fix,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,better-sollidity.sollidity-plus,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,BigBlack.bitcoin-black,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,BigBlack.codo-ai,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,BigBlack.mrbigblacktheme,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,blackforest.blackforest-1234,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,BlockchainIndustries.bitcoin-toolkit,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,BlockchainIndustries.blockchain-toolkit,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,BlockchainIndustries.hardhat-toolkit,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,BlockchainIndustries.solana-toolkit,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,BlockchainWEB3.blankebestxstnion,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,bogigigigigity.etherefound,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,bphpburnsus.iconesvscode,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,bug-author.shadure,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,Cencurity.cencurity-connector,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,ceo.sammarco,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,CharlesHoskinson.lfamnw1,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,clacla100.claudemem,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,clacla100.cosave100,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,clawdbot.clawdbot-agent,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,clicli100.openclaw100,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,clicli100.windsurf100,90,90,Removed from VS Marketplace: malware.,malware;critical
indicator,Text,cline-ai-main.cline-ai-agent,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,CloudianApp.CloudianCompanion-56d02aa8da72,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,cobot100.cosave101,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,cobot100.cursor100,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,cobot100.kilobrasil,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,cobot100.kilochinese,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,cobot100.kilojapan,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,cosmic-themes.theme-cosmic-nebula,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,Crypto-Extensions.SnowShsoNo,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,Cryptocurrency.asbaquin,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,CryptoCurrencyExtensions.blehai,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,CryptoFoundation.BlehBleh,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,CryptoPublisher.aidebut,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,CSF-RED.CSF-RED,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,csvmech.csvrainbow,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,culvequeaka.Descargar-TRAIN-CREW-Prologue-gratuita-2022,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,cweijamysq.sync-settings-vscode,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,dafsfsdsfdfsdf11.randomic-slaying-pog,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,DanielBlockchain.chocosnack,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,Dart-vsc.code-dart,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,DaveWeb3.choccie,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,DavidAsh.dcbox-vs,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,DavidAsh.gruvbox-vs,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,DavidAsh.tr-lang-pack,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,devcodaro.codaro-pro,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,devokai.codesleep,90,90,Removed from VS Marketplace: Malware.,malware;critical
indicator,Text,devokaicode.codesleepai,90,90,Removed from VS Marketplace: Malware.,malware;critical
