ExtensionId,PublisherId,Severity,Category,Comment,Source
0xS1rx58D3V.ChatGPT-B0T,0xS1rx58D3V,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
498-00.cppformat,498-00,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
498-00.cppplayground,498-00,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
498-00.pythonformat,498-00,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
7finney.ethcode,7finney,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
aadarkcode.one-dark-material,aadarkcode,critical,malware,compromised - glassworm supply chain attack,static_list
AARCarti.darkai-ai-pro,AARCarti,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
AARCarti.fortex-ai-pro,AARCarti,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
ab-498.cppformat,ab-498,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
ab-498.cppplayground,ab-498,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
ab-498.pythonformat,ab-498,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
ahban.cychelloworld,ahban,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
ahban.shiba,ahban,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
ahbanC.shiba,ahbanC,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
AhmedCrypto.ahmedcrypto1,AhmedCrypto,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
AhmedSleem.secure-code,AhmedSleem,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
AhmedSlem.secure-codee,AhmedSlem,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
aligntool.extension-align-professional-tool,aligntool,critical,malware,compromised - glassworm supply chain attack,static_list
AllenBarry.Solid,AllenBarry,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
AmsTaFFix.daemonic-lua-api,AmsTaFFix,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
angular-studio.ng-angular-extension,angular-studio,critical,malware,compromised - glassworm supply chain attack,static_list
annacode.pt-lab-simproc,annacode,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
ANZ-BANK.vscode-sysl,ANZ-BANK,critical,malware,Removed from VS Marketplace: Malware.,microsoft_removed_packages
